datarate,PCell_Downlink_TB_Size,SCell_Downlink_TB_Size,PCell_SNR_1,PCell_SNR_2,SCell_SNR_1,SCell_SNR_2,PCell_RSSI_1,PCell_RSSI_2,PCell_RSSI_max,PCell_RSRP_1,PCell_RSRP_2,PCell_RSRP_max,PCell_Downlink_Average_MCS,SCell_Downlink_Average_MCS,PCell_Downlink_Num_RBs,SCell_Downlink_Num_RBs,date
79200000.0,4490318.0,4455552.0,19.590000057220458,24.18499990463257,23.64899990081787,26.43600004196167,-41.189375,-44.6575,-44.6575,-75.9125,-78.833125,-75.9125,24.0,24.0,33851.0,33536.0,41
62000000.0,5344958.0,5270123.0,19.234000043869017,23.05700008392334,23.17499994277954,25.96300001144409,-40.8125,-44.596875,-44.596875,-75.911875,-78.973125,-75.911875,24.0,25.0,42575.0,37948.0,42
86800000.0,6690816.0,6561991.0,19.706000061035155,22.67099994659424,23.618000049591064,26.359999961853028,-39.735,-44.090625,-44.090625,-75.066875,-78.79875,-75.066875,25.0,25.0,48778.0,45892.0,43
88000000.0,6299506.0,6088612.0,19.832999897003173,22.865000019073488,23.57300006866455,27.175999908447267,-39.8775,-44.275625,-44.275625,-74.89375,-78.68,-74.89375,25.0,24.0,45781.0,45060.0,44
88200000.0,5877174.0,5551927.0,19.662999992370604,23.242000007629393,23.333999977111816,27.364000034332275,-40.41625,-44.6375,-44.6375,-75.19625,-78.734375,-75.19625,25.0,24.0,43122.0,41728.0,45
72500000.0,4686398.0,5004756.0,20.114000072479246,23.44499996185303,22.58499994277954,27.141000022888182,-40.884375,-44.6,-44.6,-75.19125,-78.51125,-75.19125,25.0,24.0,33940.0,37340.0,46
59300000.0,4233437.0,3916702.0,20.170000038146974,23.574999980926513,22.33599998474121,25.993999977111816,-40.6175,-44.375,-44.375,-75.105625,-78.423125,-75.105625,25.0,24.0,30715.0,30254.0,47
78200000.0,6668949.0,7361160.0,20.65299995422363,24.175000019073487,21.76,27.33699996948242,-40.661875,-44.484375,-44.484375,-75.093125,-78.49,-75.093125,25.0,26.0,47017.0,47460.0,48
97800000.0,6395883.0,6451651.0,20.52399995803833,23.890999908447267,22.170000019073488,26.940000038146973,-40.353125,-44.481875,-44.481875,-74.94375,-78.465625,-74.94375,25.0,26.0,45355.0,42414.0,49
78200000.0,4839502.0,4558570.0,20.709999980926515,23.79300003051758,22.26200008392334,26.407999954223634,-39.68875,-44.380625,-44.380625,-74.67125,-78.68,-74.67125,24.0,24.0,36550.0,33143.0,50
